题目,选项A,选项B,选项C,正确答案,解析
【第21题】习近平新时代中国特色社会主义思想明确中国特色社会主义最本质的特征是____。,全面依法治国,中国共产党领导,人民当家作主,B,“十个明确”中提出，中国特色社会主义最本质的特征是中国共产党领导。
【第22题】中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的____需要和____的发展之间的矛盾。,物质文化；落后的社会生产,美好生活；不平衡不充分,精神文化；不平衡不充分,B,党的十九大明确提出，我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。
【第23题】新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和____。,中华民族伟大复兴,共产主义社会,全面建成小康社会,A,总任务是实现社会主义现代化和中华民族伟大复兴。
【第24题】全面深化改革的总目标是完善和发展中国特色社会主义制度，推进____现代化。,国防和军队,国家治理体系和治理能力,社会治理体系,B,全面深化改革总目标是推进国家治理体系和治理能力现代化。
【第25题】中国特色社会主义事业总体布局是____。,四个全面,三步走战略,五位一体,C,中国特色社会主义事业总体布局是“五位一体”。
【第26题】全面推进依法治国的总目标是建设中国特色社会主义____，建设社会主义法治国家。,法治体系,法治政府,法治社会,A,全面依法治国总目标是建设中国特色社会主义法治体系、建设社会主义法治国家。
【第27题】新时代我国经济发展的基本特征，就是由高速增长阶段转向____阶段。,中高速增长,高质量发展,中低速增长,B,我国经济已由高速增长阶段转向高质量发展阶段。
【第28题】习近平指出，引领发展的第一动力是____。,改革,开放,创新,C,创新是引领发展的第一动力，是建设现代化经济体系的战略支撑。
【第29题】习近平新时代中国特色社会主义思想的活的灵魂是“六个必须坚持”，排在首位的是必须坚持____。,人民至上,自信自立,问题导向,A,首位是必须坚持人民至上。
【第30题】中国共产党确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位，被称为____。,两个维护,两个确立,两个坚决,B,“两个确立”是党在新时代取得的重大政治成果。
【第31题】习近平新时代中国特色社会主义思想明确中国特色社会主义最本质的特征是____。,全面依法治国,中国共产党领导,人民当家作主,B,“十个明确”中提出，中国特色社会主义最本质的特征是中国共产党领导。
【第32题】中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的____需要和____的发展之间的矛盾。,物质文化；落后的社会生产,美好生活；不平衡不充分,精神文化；不平衡不充分,B,党的十九大明确提出，我国社会主要矛盾已经转化为人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾。
【第33题】新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是实现社会主义现代化和____。,中华民族伟大复兴,共产主义社会,全面建成小康社会,A,总任务是实现社会主义现代化和中华民族伟大复兴。
【第34题】全面深化改革的总目标是完善和发展中国特色社会主义制度，推进____现代化。,国防和军队,国家治理体系和治理能力,社会治理体系,B,全面深化改革总目标是推进国家治理体系和治理能力现代化。
【第35题】中国特色社会主义事业总体布局是____。,四个全面,三步走战略,五位一体,C,中国特色社会主义事业总体布局是“五位一体”。
【第36题】全面推进依法治国的总目标是建设中国特色社会主义____，建设社会主义法治国家。,法治体系,法治政府,法治社会,A,全面依法治国总目标是建设中国特色社会主义法治体系、建设社会主义法治国家。
【第37题】新时代我国经济发展的基本特征，就是由高速增长阶段转向____阶段。,中高速增长,高质量发展,中低速增长,B,我国经济已由高速增长阶段转向高质量发展阶段。
【第38题】习近平指出，引领发展的第一动力是____。,改革,开放,创新,C,创新是引领发展的第一动力，是建设现代化经济体系的战略支撑。
【第39题】习近平新时代中国特色社会主义思想的活的灵魂是“六个必须坚持”，排在首位的是必须坚持____。,人民至上,自信自立,问题导向,A,首位是必须坚持人民至上。
【第40题】中国共产党确立习近平同志党中央的核心、全党的核心地位，确立习近平新时代中国特色社会主义思想的指导地位，被称为____。,两个维护,两个确立,两个坚决,B,“两个确立”是党在新时代取得的重大政治成果。
